frame,seconds,milliseconds,value
1058,17,633,3.0
1111,18,517,3.5
1135,18,917,4.7
1151,19,183,4.0
1168,19,467,4.4
1185,19,750,5.0
1200,20,0,5.0
1202,20,33,5.4
1423,23,717,5.0
1440,24,0,5.0
1442,24,33,4.7
1459,24,317,4.4
1476,24,600,4.0
1493,24,883,3.8
1510,25,167,3.5
1544,25,733,3.3
1578,26,300,3.0
1595,26,583,2.9
1629,27,150,2.7
1663,27,717,2.5
1680,28,0,2.3
1767,29,450,2.2
1784,29,733,1.9
1818,30,300,2.0
1943,32,383,2.2
1966,32,767,2.7
2034,33,900,2.9
2085,34,750,3.0
2151,35,850,3.3
2203,36,717,3.5
2273,37,883,3.3
2324,38,733,3.0
2358,39,300,3.3
2392,39,867,3.5
2408,40,133,3.3
2562,42,700,2.7
2569,42,817,2.7
2632,43,867,2.9
2734,45,567,3.0
2750,45,833,3.5
2824,47,67,3.5
2853,47,550,3.0
2870,47,833,3.3
2887,48,117,3.8
3058,50,967,3.8
3211,53,517,3.5
3298,54,967,3.3
3332,55,533,2.9
3349,55,817,2.7
3383,56,383,2.5
3400,56,667,2.3
3452,57,533,2.2
3486,58,100,2.0
3503,58,383,1.9
3519,58,650,1.8
3742,62,367,1.9
3776,62,933,2.0
3793,63,217,2.2
3844,64,67,2.3
3878,64,633,2.5
3914,65,233,2.7
3948,65,800,2.9
4017,66,950,3.0
4050,67,500,3.3
4101,68,350,3.5
4118,68,633,3.3
4135,68,917,3.0
4169,69,483,3.3
4186,69,767,3.5
4203,70,50,3.3
4239,70,650,3.0
4256,70,933,3.3
4340,72,333,3.5
4358,72,633,3.8
4392,73,200,4.0
4409,73,483,4.4
4443,74,50,4.0
4494,74,900,3.8
4511,75,183,3.5
4581,76,350,3.3
4785,79,750,3.0
4888,81,467,2.9
5024,83,733,2.5
5042,84,33,2.5
5059,84,317,2.7
5076,84,600,2.5
5110,85,167,2.7
5126,85,433,2.9
5143,85,717,2.7
5248,87,467,2.9
5333,88,883,3.0
5350,89,167,3.3
5400,90,0,3.0
5485,91,417,2.9
5572,92,867,2.7
5675,94,583,2.5
5691,94,850,2.3
5708,95,133,2.2
5828,97,133,2.0
5881,98,17,2.3
5931,98,850,2.2
5965,99,417,2.0
6016,100,267,1.9
6033,100,550,2.0
6102,101,700,1.8
6118,101,967,1.9
6136,102,267,2.2
6153,102,550,2.5
6189,103,150,3.3
6204,103,400,3.3
6222,103,700,3.8
6239,103,983,4.0
6273,104,550,4.4
6307,105,117,4.7
6325,105,417,5.0
6356,105,933,5.0
6375,106,250,5.4
6568,109,467,5.4
