frame,seconds,milliseconds,value
747,12,450,240
970,16,167,160
1010,16,833,150
1041,17,350,120
1070,17,833,100
1098,18,300,86
1134,18,900,70
1164,19,400,65
1208,20,133,57
1230,20,500,53
1286,21,433,70
1318,21,967,86
1344,22,400,110
1372,22,867,150
1401,23,350,180
1427,23,783,210
1455,24,250,230
1484,24,733,210
1512,25,200,200
1538,25,633,160
1569,26,150,130
1597,26,617,110
1625,27,83,100
1711,28,517,90
1747,29,117,110
1785,29,750,120
1812,30,200,150
1839,30,650,160
1865,31,83,170
1891,31,517,160
1921,32,17,140
1972,32,867,90
1998,33,300,75
2025,33,750,70
2055,34,250,80
2100,35,0,110
2130,35,500,120
2155,35,917,180
2182,36,367,300
2207,36,783,520
2242,37,367,840
2272,37,867,1300
2304,38,400,1500
2333,38,883,1300
2359,39,317,1200
2388,39,800,970
2414,40,233,700
2440,40,667,400
2466,41,100,280
2492,41,533,210
2518,41,967,180
2570,42,833,260
2596,43,267,370
2624,43,733,740
2653,44,217,1100
2685,44,750,1500
2727,45,450,1200
2729,45,483,1200
2752,45,867,900
2796,46,600,2000
2822,47,33,4200
2902,48,367,9000
2945,49,83,4800
2971,49,517,1700
2998,49,967,900
3026,50,433,560
3051,50,850,320
3080,51,333,210
3106,51,767,150
3132,52,200,110
3159,52,650,86
3201,53,350,65
3233,53,883,53
3270,54,500,50
3305,55,83,46
3338,55,633,40
3374,56,233,35
3406,56,767,32
3445,57,417,30
3509,58,483,28
3613,60,217,30
3660,61,0,32
3705,61,750,35
3746,62,433,40
3788,63,133,50
3870,64,500,70
3914,65,233,90
3954,65,900,110
3995,66,583,160
4035,67,250,210
4073,67,883,300
4115,68,583,700
4152,69,200,1100
4193,69,883,970
4227,70,450,400
4269,71,150,280
4302,71,700,230
4333,72,217,170
4370,72,833,140
4415,73,583,110
4453,74,217,86
4485,74,750,75
4516,75,267,65
4551,75,850,60
4615,76,917,50
4646,77,433,53
4649,77,483,53
4677,77,950,53
4680,78,0,53
4711,78,517,60
4750,79,167,75
4785,79,750,86
4817,80,283,110
4849,80,817,120
4876,81,267,140
4907,81,783,170
4934,82,233,230
4965,82,750,280
4993,83,217,300
5044,84,67,370
5070,84,500,520
5096,84,933,600
5122,85,367,740
5148,85,800,800
5174,86,233,640
5203,86,717,520
5235,87,250,320
5281,88,17,230
5332,88,867,210
5357,89,283,200
5441,90,683,200
5550,92,500,180
5581,93,17,170
